,linkedin,last_name,first_name,school_most_recent,year_start,year_end,major,degree,company_most_recent,work_start,work_end,job_title,job_location
91,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Columbia Business School,2016.4,2016.12,Research Assistant,NY
92,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Hospital for Special Surgery,2016.6,2016.12,Statistics,NY
93,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"Hermes Capital Advisors, LLC",2016.9,2016.1,Quantitative Analysis,NY
94,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),EmployToy,2016.6,2016.8,Data Science,NY
95,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"KDS Global, LLC.",2016.6,2016.8,Analyst,CA
96,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Citizens Crime Commission of New York City,2016.1,2016.12,Machine Learning,NY
97,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Superkids Nutrition,2016.1,2016.4,Business,NY
98,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Columbia University in the City of New York,2016.3,2016.6,Consultant,NY
99,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),JETZY,2016.7,2016.9,Analyst,NY
100,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,MATRiX ANALYTiCS CORPORATION,2017.1,2019,Data Science,
101,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Aithon Capital,2016.1,2016.12,Research Assistant,NY
102,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Entropy Technology,2016.5,2016.12,Data Science,NY
103,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,SafeRock,2016.9,2016.11,Statistics,NY
104,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),RubinHaney Capital Management,2016.5,2016.8,Research Assistant,NY
105,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Standard Chartered Bank,2016.7,2016.9,Management,
106,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,Lighter Capital,2016.6,2016.9,Data Science,WA
107,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),"Blue Water Satellite, Inc.",2016.7,2016.9,Data Analytics,Toledo
108,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Pythagoras Investment Management LLC.,2016.5,2016.11,Quantitative Analysis,NY
109,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Blue Diamond Advisory,2016.1,2016.3,Research Assistant,NY
110,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,ISERP Columbia University,2016.3,2016.12,Consultant,NY
111,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics (Economics Concentration),Master???€??s Degree,JPMorgan Chase &amp; Co.,2016.11,2016.12,Risk Management,NY
112,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,Columbia University in the City of New York,2016.2,2016.5,Research Assistant,
113,xxx,xxx,xxx,Columbia University,2015,2017,Statistics with a focus on data science,Master&#39;s degree,Santander Consumer USA,2017.1,2019,Data Analytics,TX
114,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Ohio BWC,2016.6,2017.2,Actuarial,OH
115,xxx,xxx,xxx,Columbia University,2015,2016,Statistics,MA in Statistics,New York State Psychiatric Institute,2016.6,2016.12,Data Analytics,NY
116,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"Alexander Alternative Capital GP, LLC",2016.6,2016.8,Quantitative Analysis,
117,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,   Statistics,   Master???€??s Degree,United Nations,2017.2,2017.4,Finance,
118,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,   Statistics,   Master of Arts (M.A.),Gridology Education &amp; Technology Inc.,2016.5,2019,Business,
119,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,Statistics,Master of Arts - MA,NASA Goddard Institute for Space Studies,2017.1,2017.8,Analyst,NY
120,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Kepler / Oquant,2016.6,2016.8,Research Assistant,NY
121,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),Advise Technologies,2017.7,2017.8,Data Analytics,NY
122,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,   Statistics ??????Data Science Concentration),   Master of Arts (M.A.),Autodesk,2017.6,2017.9,Data Science,CA
123,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,   Statistics,   Master of Arts (M.A.),SFL Scientific,2017.8,2017.1,Data Science,
124,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),Alpine Capital Advisors,2017.1,2019,Analyst,NY
125,xxx,xxx,xxx,Columbia University in the City of New York,2016,2018,   Statistics,   Master???€??s Degree,Merlin,2018.1,2019,Data Analytics,NY
126,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts - MA,Peltast Partners,2017.3,2017.6,Data Analytics,IL
127,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master&#39;s degree,PingAn Technology,2017.6,2017.8,Management,
128,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),"China Securities Co., Ltd.",2017.6,2017.8,Business,
129,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Hanweck,2017.6,2017.9,Data Science,NY
130,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Alibaba.com,2017.6,2017.8,Machine Learning,"   Hangzhou, Zhejiang, China"
131,xxx,xxx,xxx,Columbia University Graduate School of Arts and Sciences,2016,2017,statistics,Master of Arts (M.A.),Zeamo,2017.6,2019,Data Analytics,NY
132,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),Zurich North America,2017.6,2019,Data Science,NY
133,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Guosen Securities,2017.6,2017.8,Intern,"   Shenzhen, Guangdong, China"
134,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,M.A. Statistics,Master,Adatos.AI,2018.1,2019,Data Science,NY
135,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),Tigress Financial Partners,2017.7,2017.9,Analyst,NY
136,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,Statistics,Master&#39;s degree,MongoDB,2017.6,2017.8,Data Analytics,NY
137,xxx,xxx,xxx,Columbia University,2016,2017,Statistics,Master of Arts (MA),China Construction Bank,2017.5,2017.8,Data Analytics,China
138,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master&#39;s degree,Dragon Quant Asset Management,2017.5,2017.7,Quantitative Analysis,"   Shanghai City, China"
139,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master???€??s Degree,Capital One Auto Finance,2017.6,2017.8,Data Science,
140,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),startup,2017.12,2019,Data Science,MA
141,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master???€??s Degree,United Nations ESCAP,2017.6,2017.8,Data Analytics,"   Bangkok Metropolitan Area, Thailand"
142,xxx,xxx,xxx,Columbia University in the City of New York,2017,2018,Statistics,Master&#39;s degree,Columbia Business School,2018.1,2019,Research Assistant,NY
